epoch,acc,loss,val_acc,val_loss
0,0.7143405079841614,0.7419369220733643,0.5758620500564575,2.510308027267456
1,0.8017638325691223,0.5622687935829163,0.6149425506591797,1.269051194190979
2,0.824769914150238,0.49355971813201904,0.7701149582862854,0.69305419921875
3,0.8424080014228821,0.44225582480430603,0.7586206793785095,0.7144936323165894
4,0.8450919985771179,0.42432600259780884,0.8379310369491577,0.4934251308441162
5,0.8611963391304016,0.38024911284446716,0.8333333134651184,0.4733593463897705
6,0.875,0.36149728298187256,0.7977011203765869,0.5506218075752258
7,0.8803681135177612,0.32998785376548767,0.8241379261016846,0.5437831282615662
8,0.886886477470398,0.311212420463562,0.8678160905838013,0.4032328426837921
9,0.8949386477470398,0.2842174768447876,0.8563218116760254,0.4529399275779724
10,0.8849693536758423,0.2968311309814453,0.842528760433197,0.45207029581069946
11,0.9129601120948792,0.26155123114585876,0.7448275685310364,0.8286555409431458
12,0.9037576913833618,0.2579711079597473,0.8379310369491577,0.48724067211151123
13,0.9141104221343994,0.23302462697029114,0.794252872467041,0.5710101127624512
14,0.9213957190513611,0.23302705585956573,0.8586207032203674,0.4660032093524933
15,0.9248466491699219,0.2082512527704239,0.8678160905838013,0.44716915488243103
16,0.9275306463241577,0.20451194047927856,0.8804597854614258,0.4020138680934906
17,0.928680956363678,0.207924023270607,0.8850574493408203,0.39756330847740173
18,0.9363496899604797,0.18224897980690002,0.8770114779472351,0.38859400153160095
19,0.9317484498023987,0.18893209099769592,0.8862069249153137,0.3705656826496124
20,0.9413343667984009,0.1632690131664276,0.8597701191902161,0.4781907796859741
21,0.9390337467193604,0.165724515914917,0.8781608939170837,0.4383588135242462
22,0.9444018602371216,0.15709854662418365,0.8413792848587036,0.742207407951355
23,0.9413343667984009,0.16464589536190033,0.8724138140678406,0.4621233344078064
24,0.9536042809486389,0.1373131424188614,0.863218367099762,0.4668521583080292
25,0.9451687335968018,0.14677228033542633,0.7954022884368896,1.207689642906189
26,0.9440184235572815,0.14834101498126984,0.8942528963088989,0.4889506697654724
27,0.9589723944664001,0.13166610896587372,0.8264367580413818,0.6641210913658142
28,0.949769914150238,0.13830958306789398,0.8839080333709717,0.4379606544971466
29,0.949769914150238,0.13047067821025848,0.8379310369491577,0.5965380668640137
30,0.9555214643478394,0.12598001956939697,0.882758617401123,0.4386626183986664
31,0.9555214643478394,0.12428703904151917,0.8666666746139526,0.5104827880859375
32,0.95820552110672,0.11462093144655228,0.8160919547080994,0.7125940322875977
33,0.9578220844268799,0.11003254354000092,0.882758617401123,0.5291410684585571
34,0.9654908180236816,0.10171382129192352,0.8954023122787476,0.5641893744468689
35,0.9601227045059204,0.11349103599786758,0.8804597854614258,0.6150547862052917
36,0.9601227045059204,0.10682038217782974,0.8816092014312744,0.6307793855667114
37,0.9566717743873596,0.12942181527614594,0.8609195351600647,0.5253422856330872
38,0.9658742547035217,0.0932726040482521,0.8574712872505188,0.5429021120071411
39,0.9635736346244812,0.10468251258134842,0.8781608939170837,0.48258158564567566
